time_sec,throughput_mbps,rtt_ms,jitter_ms,cwnd_bytes,retransmits,label
0,5.555825591337346,218.24,0.0,73848,0,Cubic Flow
1,6.778666664733309,131.772,86.46800000000002,110048,0,Cubic Flow
2,9.3856307072905,140.72,8.948000000000008,156384,0,Cubic Flow
3,10.0,173.205,32.485000000000014,211408,0,Cubic Flow
4,7.817393966209112,218.094,44.88899999999998,266432,0,Cubic Flow
5,10.0,264.219,46.125,327248,0,Cubic Flow
6,10.0,294.256,30.036999999999978,388064,0,Cubic Flow
7,10.0,315.097,20.841000000000008,451776,0,Cubic Flow
8,7.816081434373754,220.975,94.12199999999999,502456,0,Cubic Flow
9,10.0,470.515,249.54,560376,0,Cubic Flow
10,10.0,564.751,94.23599999999999,708072,0,Cubic Flow
11,10.0,696.497,131.74599999999998,886176,0,Cubic Flow
12,10.0,860.667,164.17000000000007,1088896,0,Cubic Flow
13,10.0,1013.452,152.78499999999997,1336504,0,Cubic Flow
14,10.0,1204.137,190.68499999999995,1591352,0,Cubic Flow
15,10.0,1265.549,61.412000000000035,1922944,0,Cubic Flow
16,10.0,1267.418,1.8689999999999145,1959144,0,Cubic Flow
17,10.0,1231.342,36.075999999999794,1959144,0,Cubic Flow
18,0.0,1394.042,162.69999999999982,1959144,0,Cubic Flow
19,10.0,1450.944,56.902000000000044,1959144,0,Cubic Flow
20,10.0,1588.155,137.211,1959144,0,Cubic Flow
21,10.0,1448.133,140.02199999999993,1959144,0,Cubic Flow
22,10.0,1553.212,105.07899999999995,1959144,0,Cubic Flow
23,0.0,1466.166,87.04600000000005,1959144,0,Cubic Flow
24,10.0,1627.99,161.82400000000007,1959144,0,Cubic Flow
25,10.0,1804.707,176.7170000000001,1959144,0,Cubic Flow
26,0.0,2134.741,330.0339999999999,1959144,0,Cubic Flow
27,10.0,2218.04,83.29899999999998,1959144,0,Cubic Flow
28,0.0,2203.647,14.393000000000029,1959144,0,Cubic Flow
29,10.0,2039.382,164.26499999999987,1959144,0,Cubic Flow
30,10.0,1905.118,134.26400000000012,1959144,0,Cubic Flow
31,0.0,1556.195,348.923,1959144,0,Cubic Flow
32,10.0,1745.328,189.13300000000004,1959144,0,Cubic Flow
33,10.0,1819.402,74.07400000000007,1959144,0,Cubic Flow
34,0.0,2056.335,236.933,1959144,0,Cubic Flow
35,10.0,2220.396,164.06100000000015,1959144,0,Cubic Flow
36,0.0,2278.27,57.873999999999796,1959144,0,Cubic Flow
37,10.0,2192.32,85.94999999999982,1959144,0,Cubic Flow
38,0.0,2132.265,60.05500000000029,1959144,0,Cubic Flow
39,10.0,1795.617,336.6479999999999,1959144,0,Cubic Flow
40,0.0,1736.378,59.23900000000003,1959144,1,Cubic Flow
41,10.0,2174.239,437.8610000000001,1959144,0,Cubic Flow
42,10.0,926.615,1247.624,1959144,0,Cubic Flow
43,10.0,1311.713,385.09799999999996,1959144,0,Cubic Flow
44,10.0,1593.795,282.0820000000001,1959144,0,Cubic Flow
45,0.0,1596.736,2.941000000000031,1959144,0,Cubic Flow
46,10.0,1675.002,78.26599999999985,1959144,0,Cubic Flow
47,10.0,1539.867,135.135,1959144,0,Cubic Flow
48,10.0,1198.981,340.88599999999997,1959144,0,Cubic Flow
49,10.0,1351.352,152.3710000000001,1959144,0,Cubic Flow
50,0.0,1527.815,176.46299999999997,1959144,0,Cubic Flow
51,10.0,1543.598,15.782999999999902,1959144,0,Cubic Flow
52,10.0,1656.555,112.95700000000011,1959144,0,Cubic Flow
53,10.0,1840.375,183.81999999999994,1959144,0,Cubic Flow
54,0.0,1816.789,23.586000000000013,1959144,0,Cubic Flow
55,10.0,1871.843,55.05400000000009,1959144,0,Cubic Flow
56,10.0,1552.319,319.5240000000001,1959144,0,Cubic Flow
57,0.0,1635.947,83.62799999999993,1959144,0,Cubic Flow
58,10.0,1869.757,233.81000000000017,1959144,0,Cubic Flow
59,0.0,2014.904,145.14699999999993,1959144,0,Cubic Flow
60,10.0,2286.662,271.7579999999998,1959144,0,Cubic Flow
61,0.0,2300.994,14.332000000000335,1959144,0,Cubic Flow
62,10.0,2169.051,131.9430000000002,1959144,0,Cubic Flow
63,10.0,2049.248,119.80299999999988,1959144,0,Cubic Flow
64,10.0,1591.687,457.56100000000015,1959144,0,Cubic Flow
65,0.0,1672.24,80.55300000000011,1959144,0,Cubic Flow
66,10.0,1889.176,216.93599999999992,1959144,0,Cubic Flow
67,0.0,2132.348,243.17200000000003,1959144,0,Cubic Flow
68,10.0,2375.161,242.8130000000001,1959144,0,Cubic Flow
69,0.0,2352.497,22.664000000000215,1959144,0,Cubic Flow
70,10.0,2044.25,308.24699999999984,1959144,0,Cubic Flow
71,0.0,1965.117,79.13300000000004,1959144,0,Cubic Flow
72,10.0,1624.263,340.85400000000004,1959144,0,Cubic Flow
73,0.0,1624.263,0.0,1959144,0,Cubic Flow
74,10.0,614.073,1010.1899999999999,1959144,0,Cubic Flow
75,0.0,1087.381,473.3080000000001,1959144,0,Cubic Flow
76,10.0,1538.992,451.6109999999999,1959144,0,Cubic Flow
77,0.0,1910.48,371.48800000000006,1959144,0,Cubic Flow
78,10.0,2034.868,124.38799999999992,1959144,0,Cubic Flow
79,0.0,2033.315,1.5529999999998836,1959144,0,Cubic Flow
80,10.0,1773.667,259.64800000000014,1959144,0,Cubic Flow
81,10.0,1565.455,208.212,1959144,0,Cubic Flow
82,10.0,1481.549,83.90599999999995,1959144,0,Cubic Flow
83,10.0,1524.696,43.146999999999935,1959144,0,Cubic Flow
84,0.0,1667.855,143.1590000000001,1959144,0,Cubic Flow
85,10.0,1909.625,241.76999999999998,1959144,0,Cubic Flow
86,0.0,2053.083,143.45800000000008,1959144,0,Cubic Flow
87,10.0,2230.352,177.26899999999978,1959144,0,Cubic Flow
88,0.0,2158.415,71.9369999999999,1959144,0,Cubic Flow
89,10.0,2017.527,140.88799999999992,1959144,0,Cubic Flow
90,10.0,1599.152,418.375,1959144,0,Cubic Flow
91,0.0,1653.278,54.125999999999976,1959144,0,Cubic Flow
92,10.0,1929.607,276.32899999999995,1959144,0,Cubic Flow
93,10.0,1968.048,38.44100000000003,1959144,0,Cubic Flow
94,0.0,2192.118,224.06999999999994,1959144,0,Cubic Flow
95,10.0,2256.249,64.13099999999986,1959144,0,Cubic Flow
96,0.0,2173.469,82.77999999999975,1959144,0,Cubic Flow
97,10.0,2084.969,88.5,1959144,0,Cubic Flow
98,10.0,1635.593,449.376,1959144,0,Cubic Flow
99,0.0,1709.625,74.03199999999993,1959144,0,Cubic Flow
100,10.0,2071.053,361.4279999999999,1959144,0,Cubic Flow
101,0.0,2147.984,76.93100000000004,1959144,0,Cubic Flow
102,10.0,2254.299,106.31500000000005,1959144,0,Cubic Flow
103,0.0,2306.136,51.83699999999999,1959144,0,Cubic Flow
104,10.0,2108.049,198.087,1959144,0,Cubic Flow
105,0.0,2049.8,58.248999999999796,1959144,0,Cubic Flow
106,10.0,1187.176,862.6240000000003,1959144,0,Cubic Flow
107,0.0,843.499,343.6769999999999,1959144,0,Cubic Flow
108,10.0,1312.037,468.538,1959144,0,Cubic Flow
109,0.0,1604.419,292.38200000000006,1959144,0,Cubic Flow
110,10.0,1729.39,124.971,1959144,0,Cubic Flow
111,10.0,1689.674,39.71600000000012,1959144,0,Cubic Flow
112,10.0,1583.319,106.35500000000002,1959144,0,Cubic Flow
113,0.0,1514.64,68.67899999999986,1959144,0,Cubic Flow
114,10.0,1336.308,178.3320000000001,1959144,0,Cubic Flow
